ROCODE,RONAME
11,Jammu
12,Srinagar
21,Shimla
31,Jalandhar
32,Mohali
51,Dehradun
61,Chandigarh
81,Ajmer
82,Jaipur
91,Agra
92,Prayagraj
93,Bareilly
94,Lucknow
101,Muzaffarpur
102,Patna
181,Guwahati
182,Dibrugarh
191,Burdwan
192,Kolkata
193,Maldah
201,Ranchi
211,Bhubaneswar
212,Sambalpur
221,Raipur
231,Bhopal
232,Gwalior
233,Jabalpur
241,Ahmedabad
242,Vadodara
271,C S Nagar
272,Mumbai
273,Nagpur
274,Pune
281,Kadapa
282,Vijayawada
291,Bengaluru
292,Hubli
321,Kozhikode
322,Thiruvananthapuram
331,Coimbatore
332,Chennai
333,Madurai
361,Hyderabad
